nuts_id,2013_0-4_male,2013_0-4_female,2013_5-9_male,2013_5-9_female,2013_10-14_male,2013_10-14_female,2013_15-19_male,2013_15-19_female,2013_20-24_male,2013_20-24_female,2013_25-29_male,2013_25-29_female,2013_30-34_male,2013_30-34_female,2013_35-39_male,2013_35-39_female,2013_40-44_male,2013_40-44_female,2013_45-49_male,2013_45-49_female,2013_50-54_male,2013_50-54_female,2013_55-59_male,2013_55-59_female,2013_60-64_male,2013_60-64_female,2013_65-69_male,2013_65-69_female,2013_70-74_male,2013_70-74_female,2013_75-79_male,2013_75-79_female,2013_80-84_male,2013_80-84_female,2013_85+_male,2013_85+_female,2015_0-4_male,2015_0-4_female,2015_5-9_male,2015_5-9_female,2015_10-14_male,2015_10-14_female,2015_15-19_male,2015_15-19_female,2015_20-24_male,2015_20-24_female,2015_25-29_male,2015_25-29_female,2015_30-34_male,2015_30-34_female,2015_35-39_male,2015_35-39_female,2015_40-44_male,2015_40-44_female,2015_45-49_male,2015_45-49_female,2015_50-54_male,2015_50-54_female,2015_55-59_male,2015_55-59_female,2015_60-64_male,2015_60-64_female,2015_65-69_male,2015_65-69_female,2015_70-74_male,2015_70-74_female,2015_75-79_male,2015_75-79_female,2015_80-84_male,2015_80-84_female,2015_85+_male,2015_85+_female,2018_0-4_male,2018_0-4_female,2018_5-9_male,2018_5-9_female,2018_10-14_male,2018_10-14_female,2018_15-19_male,2018_15-19_female,2018_20-24_male,2018_20-24_female,2018_25-29_male,2018_25-29_female,2018_30-34_male,2018_30-34_female,2018_35-39_male,2018_35-39_female,2018_40-44_male,2018_40-44_female,2018_45-49_male,2018_45-49_female,2018_50-54_male,2018_50-54_female,2018_55-59_male,2018_55-59_female,2018_60-64_male,2018_60-64_female,2018_65-69_male,2018_65-69_female,2018_70-74_male,2018_70-74_female,2018_75-79_male,2018_75-79_female,2018_80-84_male,2018_80-84_female,2018_85+_male,2018_85+_female,2020_0-4_male,2020_0-4_female,2020_5-9_male,2020_5-9_female,2020_10-14_male,2020_10-14_female,2020_15-19_male,2020_15-19_female,2020_20-24_male,2020_20-24_female,2020_25-29_male,2020_25-29_female,2020_30-34_male,2020_30-34_female,2020_35-39_male,2020_35-39_female,2020_40-44_male,2020_40-44_female,2020_45-49_male,2020_45-49_female,2020_50-54_male,2020_50-54_female,2020_55-59_male,2020_55-59_female,2020_60-64_male,2020_60-64_female,2020_65-69_male,2020_65-69_female,2020_70-74_male,2020_70-74_female,2020_75-79_male,2020_75-79_female,2020_80-84_male,2020_80-84_female,2020_85+_male,2020_85+_female,2023_0-4_male,2023_0-4_female,2023_5-9_male,2023_5-9_female,2023_10-14_male,2023_10-14_female,2023_15-19_male,2023_15-19_female,2023_20-24_male,2023_20-24_female,2023_25-29_male,2023_25-29_female,2023_30-34_male,2023_30-34_female,2023_35-39_male,2023_35-39_female,2023_40-44_male,2023_40-44_female,2023_45-49_male,2023_45-49_female,2023_50-54_male,2023_50-54_female,2023_55-59_male,2023_55-59_female,2023_60-64_male,2023_60-64_female,2023_65-69_male,2023_65-69_female,2023_70-74_male,2023_70-74_female,2023_75-79_male,2023_75-79_female,2023_80-84_male,2023_80-84_female,2023_85+_male,2023_85+_female
AT11,2.067,2.0346,2.2742,2.1689,2.4036,2.27,2.6931,2.5446,2.7113,2.5606,2.7556,2.6778,2.9704,3.0214,3.149,3.3133,3.9,3.8543,4.2691,4.14,4.2066,4.1121,3.6862,3.6314,3.3775,3.381,2.2945,2.4179,2.5159,2.8055,1.6558,2.2599,1.1825,1.9484,0.7196,2.0262,2.0811,1.9961,2.2323,2.1581,2.3863,2.2496,2.5649,2.4019,2.7202,2.5208,2.706,2.5718,2.936,3.0209,3.0164,3.2137,3.6913,3.6719,4.1203,4.0686,4.2829,4.2312,3.9264,3.8449,3.3715,3.3622,2.6759,2.8135,2.3287,2.5732,1.8914,2.421,1.1968,1.8803,0.8077,2.0641,2.1375,1.9882,2.2701,2.198,2.3675,2.266,2.4867,2.2571,2.5769,2.3524,2.6606,2.5346,2.8045,2.8342,3.1185,3.2258,3.2733,3.442,3.9142,3.906,4.2453,4.1661,4.135,4.0998,3.5763,3.6242,3.1769,3.2531,2.0767,2.2947,2.1239,2.5438,1.2335,1.8474,0.9075,2.0818,2.1298,2.0065,2.2738,2.1635,2.3207,2.2389,2.4019,2.2334,2.4246,2.2263,2.6101,2.5055,2.7796,2.7578,3.0903,3.2401,3.1243,3.3444,3.7427,3.7485,4.136,4.1007,4.2325,4.242,3.83,3.8552,3.165,3.2628,2.4148,2.6468,1.9519,2.338,1.4356,2.0103,0.9584,2.0572,2.0591,1.9744,2.3552,2.1919,2.3715,2.2855,2.3811,2.2629,2.326,2.0558,2.4455,2.2954,2.717,2.715,3.0111,3.1349,3.2684,3.4201,3.3407,3.5499,3.917,3.9658,4.169,4.2201,4.0661,4.162,3.3879,3.5529,2.8488,3.0636,1.7255,2.0797,1.5821,2.1268,0.9952,1.9764
AT12,2.3235,2.1818,2.4871,2.3679,2.6487,2.4863,3.0012,2.8271,3.0058,2.8269,2.8435,2.7523,2.9334,2.9248,3.0945,3.2154,3.9537,3.9908,4.41,4.343,4.0192,3.9358,3.2458,3.2632,2.8181,2.9772,2.4054,2.6016,2.6044,2.9309,1.4891,1.8897,1.0885,1.6716,0.6871,1.7547,2.3343,2.2096,2.4283,2.3249,2.6083,2.4381,2.8381,2.6652,3.0131,2.8185,2.8581,2.7464,3.0214,3.0189,2.9873,3.0233,3.5888,3.6969,4.3528,4.2838,4.2566,4.1771,3.4688,3.4878,2.7791,2.9281,2.454,2.6633,2.5032,2.8258,1.7499,2.1372,1.091,1.6344,0.776,1.8116,2.4044,2.2741,2.4764,2.328,2.5563,2.4245,2.7176,2.4694,2.8696,2.6713,2.9631,2.8293,2.9914,2.9526,3.1279,3.1334,3.1987,3.3001,3.9454,3.9804,4.3129,4.2677,3.8504,3.8285,3.0473,3.1435,2.5464,2.7978,2.1042,2.3914,2.1565,2.6128,1.1064,1.5465,0.8687,1.8051,2.4041,2.2772,2.4998,2.3599,2.5112,2.3919,2.6301,2.433,2.7086,2.5041,2.943,2.8008,3.0058,2.9543,3.2098,3.2361,3.094,3.1356,3.6,3.7074,4.2672,4.2224,4.0941,4.0772,3.2707,3.3658,2.5342,2.7572,2.1508,2.4614,2.0745,2.5177,1.3206,1.7691,0.9116,1.7988,2.3431,2.2422,2.5621,2.4262,2.5725,2.4183,2.6,2.4379,2.5441,2.2934,2.7615,2.5954,3.0968,3.0474,3.1869,3.2094,3.256,3.2945,3.2269,3.3568,3.8947,3.9628,4.1687,4.1934,3.6531,3.7305,2.7966,3.0023,2.2406,2.5986,1.7338,2.1277,1.6165,2.1658,0.934,1.7096
AT13,2.6332,2.449,2.4088,2.2921,2.2978,2.2073,2.5468,2.4723,3.5162,3.6696,3.8768,4.024,3.8597,3.9031,3.5077,3.5995,3.7991,3.9133,4.0349,3.9823,3.5015,3.558,2.7431,3.0177,2.4389,2.7777,2.2903,2.7772,2.1676,2.754,0.9956,1.4281,0.7825,1.3895,0.6176,1.7671,2.6548,2.4581,2.4068,2.2874,2.306,2.1897,2.4454,2.3738,3.589,3.6814,4.0694,4.1691,4.0416,4.0607,3.556,3.5286,3.5294,3.6779,3.9135,3.9086,3.6709,3.6712,2.8889,3.1023,2.2811,2.6169,2.1551,2.6086,2.1872,2.7961,1.2175,1.6741,0.7232,1.2412,0.6376,1.681,2.7133,2.5366,2.477,2.303,2.33,2.1921,2.4759,2.3219,3.5523,3.5537,4.3053,4.2563,4.1493,4.0538,3.7726,3.7005,3.3568,3.4099,3.5685,3.6718,3.703,3.6856,3.15,3.2389,2.3782,2.6894,2.0208,2.4262,1.8211,2.3635,1.6652,2.2576,0.6746,1.0611,0.6352,1.5288,2.6631,2.5218,2.4895,2.3064,2.3629,2.223,2.427,2.31,3.3549,3.4095,4.2083,4.1616,4.1909,4.0918,3.8833,3.8184,3.3842,3.3558,3.355,3.4924,3.6592,3.679,3.3707,3.3993,2.5635,2.8107,1.9321,2.3336,1.7596,2.2567,1.6908,2.3276,0.8657,1.2976,0.6197,1.4241,2.5105,2.3696,2.5445,2.3948,2.4357,2.2565,2.4897,2.362,3.3376,3.3557,4.1527,4.0841,4.3169,4.134,3.9296,3.833,3.5596,3.5491,3.1828,3.2921,3.3499,3.5201,3.411,3.4661,2.8287,2.9745,2.0371,2.4339,1.6499,2.1238,1.4007,1.9727,1.1732,1.7567,0.5838,1.2274
AT21,2.1742,2.0734,2.3259,2.2095,2.4872,2.3857,2.9226,2.7375,2.9017,2.7069,2.946,2.8876,2.9847,2.9478,2.9771,2.9874,3.7604,3.8139,4.1997,4.2758,4.0706,4.108,3.4761,3.5948,2.9017,3.171,2.4806,2.747,2.5249,2.9942,1.435,1.9549,1.1594,1.889,0.8078,1.9803,2.176,2.0554,2.2945,2.1767,2.4159,2.3079,2.7512,2.5784,2.899,2.6533,2.9141,2.8341,3.0982,3.0471,2.9146,2.908,3.393,3.44,4.1224,4.1754,4.2011,4.2743,3.7151,3.8512,3.0014,3.1857,2.5699,2.8698,2.4688,2.9119,1.6964,2.2167,1.0984,1.782,0.916,2.0861,2.2234,2.1015,2.2824,2.1587,2.417,2.2785,2.5627,2.3676,2.7312,2.473,2.9606,2.8347,3.0344,2.9947,3.0489,3.0289,3.0396,3.0597,3.7823,3.847,4.1667,4.2781,3.9911,4.069,3.3354,3.5432,2.7299,3.0731,2.2291,2.5983,2.1437,2.7344,1.0836,1.6511,0.997,2.1494,2.1778,2.0814,2.2788,2.1456,2.3774,2.2491,2.4786,2.3114,2.5823,2.3777,2.9092,2.7533,3.0004,2.9598,3.1467,3.119,2.979,2.9792,3.4184,3.5008,4.1085,4.1951,4.1294,4.2652,3.601,3.8066,2.8425,3.1082,2.3164,2.721,2.0934,2.6653,1.3184,1.9033,1.0022,2.0977,2.1255,2.0108,2.2995,2.1858,2.3475,2.222,2.5013,2.2876,2.5294,2.2447,2.8393,2.5916,3.0996,2.9876,3.1498,3.1249,3.1409,3.1365,3.0859,3.1249,3.7752,3.8766,4.0868,4.2557,3.8704,4.0337,3.1484,3.4421,2.4477,2.8931,1.8827,2.3451,1.6268,2.3094,0.9853,1.9863
AT22,2.2144,2.0796,2.2607,2.1726,2.3822,2.264,2.8509,2.6746,3.3673,3.1613,3.3317,3.1292,3.2461,3.1487,3.2102,3.1594,3.8567,3.7728,4.2378,4.0974,3.9442,3.8889,3.267,3.3566,2.7361,2.9429,2.3188,2.6098,2.4435,2.9136,1.4232,1.9189,1.1283,1.8054,0.7496,1.9358,2.235,2.0658,2.2253,2.1464,2.33,2.2047,2.68,2.5205,3.3655,3.1171,3.3963,3.1623,3.3576,3.2038,3.1387,3.058,3.5345,3.4772,4.1461,3.991,4.1103,4.027,3.5128,3.5848,2.7859,2.9464,2.3747,2.666,2.3366,2.8052,1.6739,2.1567,1.1,1.7281,0.8388,1.9969,2.3268,2.1674,2.2754,2.1387,2.2912,2.1934,2.5009,2.2983,3.2006,2.937,3.4904,3.2079,3.3465,3.146,3.274,3.1774,3.2185,3.1611,3.8157,3.7333,4.1322,4.0205,3.7857,3.7784,3.0831,3.2367,2.5235,2.7948,2.0441,2.4283,2.056,2.6229,1.0619,1.5914,0.924,2.0158,2.332,2.2052,2.3013,2.1251,2.2704,2.1726,2.3898,2.2485,2.9781,2.7391,3.454,3.1522,3.3903,3.1866,3.3765,3.2377,3.1582,3.0864,3.516,3.4694,4.0591,3.9403,3.9678,3.9381,3.3284,3.4756,2.5719,2.8136,2.1029,2.4824,1.971,2.5323,1.2735,1.8192,0.9471,1.9874,2.2595,2.1748,2.3735,2.2104,2.3206,2.1799,2.3787,2.2419,2.7608,2.5123,3.3179,3.0137,3.5029,3.2299,3.3798,3.221,3.3011,3.2335,3.2225,3.204,3.752,3.7197,4.0021,3.9615,3.6,3.6914,2.8486,3.1066,2.2344,2.6145,1.6986,2.1729,1.5537,2.2016,0.9333,1.8702
AT31,2.5059,2.3583,2.5311,2.4295,2.6862,2.5577,3.1483,2.9771,3.2389,3.0247,3.2302,3.1372,3.2696,3.1294,3.1451,3.0948,3.8173,3.759,4.3179,4.1967,3.9982,3.9264,3.2402,3.2654,2.6935,2.7832,2.1483,2.3704,2.2289,2.6461,1.3676,1.8532,1.027,1.565,0.6434,1.6883,2.536,2.4015,2.5129,2.3845,2.5975,2.508,2.9465,2.7614,3.2487,3.0492,3.2998,3.1325,3.4066,3.245,3.1191,3.0069,3.4687,3.4355,4.1816,4.0659,4.1832,4.1097,3.4607,3.479,2.7524,2.8138,2.2523,2.4518,2.0991,2.5151,1.5436,2.0173,1.0318,1.5546,0.7182,1.7093,2.6445,2.4996,2.5575,2.4088,2.5529,2.4444,2.7367,2.5448,3.1956,2.931,3.4249,3.1728,3.3837,3.2123,3.3389,3.1643,3.1533,3.0995,3.7431,3.689,4.1574,4.063,3.7844,3.7693,2.9993,3.0874,2.4163,2.596,1.8587,2.1654,1.8323,2.3519,1.0056,1.5091,0.8096,1.6965,2.6606,2.5115,2.5792,2.442,2.5354,2.4029,2.6188,2.5003,3.0176,2.7496,3.4108,3.1722,3.4375,3.2218,3.4372,3.279,3.1197,3.0135,3.412,3.391,4.0445,3.9594,3.9709,3.945,3.2213,3.3007,2.4806,2.6343,1.9597,2.2379,1.729,2.24,1.1575,1.6655,0.8504,1.6906,2.5834,2.4472,2.6655,2.5145,2.5622,2.4178,2.596,2.447,2.8643,2.5773,3.3276,3.0275,3.5456,3.274,3.4392,3.2802,3.337,3.1926,3.1283,3.0963,3.6443,3.6265,3.9804,3.9492,3.5418,3.6011,2.719,2.9103,2.1029,2.3905,1.5218,1.9121,1.3596,1.9339,0.8531,1.63
AT32,2.4243,2.3414,2.5076,2.3918,2.7282,2.5646,3.0513,2.8836,3.1613,3.0186,3.2732,3.3023,3.3256,3.3437,3.1745,3.2442,3.8227,3.9323,4.173,4.2472,3.7246,3.8945,3.0668,3.3894,2.6821,2.9957,2.3433,2.6483,2.2512,2.6593,1.2418,1.6236,0.9393,1.4501,0.6558,1.5227,2.4819,2.3679,2.4309,2.3269,2.61,2.4626,2.9398,2.7467,3.1568,3.0068,3.2959,3.2753,3.4511,3.438,3.1979,3.1594,3.4454,3.5739,4.1335,4.1886,3.8997,4.0813,3.2501,3.526,2.654,2.9814,2.3759,2.686,2.2535,2.6622,1.4524,1.8697,0.9304,1.3992,0.7241,1.5645,2.6063,2.4505,2.4082,2.324,2.5023,2.3716,2.8291,2.5347,3.0743,2.8948,3.4601,3.3134,3.4578,3.403,3.3355,3.3376,3.1637,3.2037,3.7381,3.8273,3.9911,4.102,3.513,3.7182,2.8141,3.1579,2.3886,2.7531,2.0299,2.4009,1.8707,2.3579,0.9338,1.3327,0.8042,1.596,2.6017,2.4711,2.4502,2.3479,2.4315,2.3277,2.6314,2.4566,3.0218,2.8062,3.407,3.2752,3.4516,3.3844,3.4509,3.4195,3.1717,3.1317,3.3585,3.5084,3.9788,4.0501,3.6932,3.8962,3.0102,3.3071,2.3784,2.7516,2.0686,2.4536,1.8726,2.3587,1.115,1.5609,0.8259,1.5745,2.5616,2.3933,2.5495,2.4024,2.4019,2.3282,2.5435,2.4001,2.8771,2.6633,3.2913,3.1685,3.5294,3.3837,3.4321,3.3974,3.3093,3.3195,3.1074,3.1919,3.6272,3.7683,3.8227,3.9643,3.2881,3.532,2.5532,2.9614,2.0901,2.5435,1.693,2.1286,1.4227,1.968,0.8472,1.5383
AT33,2.4575,2.327,2.506,2.3836,2.6397,2.5098,3.1013,2.9432,3.4384,3.3733,3.4033,3.3889,3.3603,3.3479,3.2558,3.2892,3.9196,3.9149,4.2955,4.3253,3.7942,3.7756,2.9303,3.1192,2.5913,2.7704,2.2196,2.4702,2.1915,2.5487,1.3103,1.642,0.97,1.403,0.5994,1.4838,2.463,2.3327,2.4321,2.3215,2.5477,2.4054,2.8879,2.7633,3.52,3.4344,3.5129,3.41,3.4513,3.4711,3.2098,3.1807,3.536,3.5755,4.2103,4.2058,4.0302,3.9962,3.2045,3.3081,2.4947,2.7382,2.2962,2.5153,2.1429,2.5055,1.4821,1.8443,0.9898,1.3736,0.6936,1.5134,2.5775,2.4263,2.4428,2.3098,2.48,2.3531,2.6482,2.4884,3.4187,3.2437,3.6875,3.508,3.4859,3.4283,3.3713,3.3287,3.2011,3.2372,3.7996,3.7904,4.1032,4.1544,3.5702,3.585,2.6866,2.9157,2.3096,2.5419,1.9259,2.2362,1.8223,2.2531,0.982,1.3448,0.8003,1.5427,2.6092,2.4188,2.4524,2.3292,2.4252,2.3148,2.5453,2.3989,3.1287,2.9958,3.67,3.4716,3.55,3.4305,3.4358,3.4427,3.1605,3.1672,3.446,3.4993,4.0658,4.0929,3.8237,3.8298,2.9662,3.1206,2.2492,2.5504,2.0044,2.2998,1.7887,2.231,1.1304,1.5394,0.8598,1.5558,2.5186,2.3782,2.536,2.3953,2.4224,2.2869,2.5051,2.35,2.8636,2.6892,3.5432,3.3048,3.6516,3.4964,3.4242,3.4061,3.3034,3.3071,3.1492,3.2312,3.7017,3.7466,3.9576,4.054,3.3735,3.4416,2.4649,2.7636,2.0469,2.363,1.6065,2.006,1.3943,1.8819,0.8872,1.5483
AT34,2.679,2.5571,2.7592,2.6497,2.9009,2.7759,3.2869,3.0813,3.2093,3.0507,3.2729,3.2356,3.3497,3.3958,3.3516,3.3709,3.8862,3.9288,4.2987,4.1017,3.734,3.6962,2.9412,3.0547,2.6344,2.7311,2.1669,2.3406,2.0832,2.3763,1.2536,1.6938,0.8932,1.3266,0.5537,1.3787,2.6839,2.5476,2.7129,2.5885,2.7983,2.6976,3.1012,2.9219,3.2056,2.9575,3.2734,3.2074,3.4414,3.4885,3.2901,3.28,3.6255,3.6588,4.1995,4.0896,3.9787,3.8662,3.1876,3.2272,2.5402,2.746,2.2832,2.42,2.0254,2.3226,1.4525,1.8276,0.9136,1.3648,0.6218,1.4533,2.8021,2.6313,2.6946,2.5616,2.7332,2.6464,2.9545,2.69,3.1587,2.8409,3.3721,3.2294,3.4513,3.3609,3.4086,3.4349,3.3412,3.3443,3.8079,3.8321,4.1104,3.9322,3.5187,3.5059,2.674,2.8407,2.3179,2.5001,1.8556,2.1073,1.7223,2.0876,0.9379,1.3823,0.7395,1.4716,2.8202,2.659,2.6834,2.5535,2.6978,2.5694,2.795,2.6286,3.0619,2.7308,3.3792,3.1634,3.4441,3.3316,3.4779,3.5038,3.2596,3.2467,3.528,3.5728,4.0318,3.9437,3.7541,3.6803,2.9194,3.0098,2.2637,2.5316,1.9671,2.1791,1.6727,2.0283,1.1067,1.4924,0.7745,1.5383,2.7522,2.5689,2.7596,2.5948,2.6767,2.5251,2.7594,2.5908,2.9319,2.563,3.3029,3.0453,3.5042,3.3399,3.4914,3.3888,3.3563,3.4201,3.2675,3.3187,3.6674,3.7348,3.9294,3.7756,3.2651,3.3199,2.4105,2.6526,2.0128,2.2749,1.5227,1.8492,1.3108,1.749,0.8312,1.5364
BE10,3.8948,3.7158,3.269,3.1027,2.7719,2.6741,2.737,2.6041,3.2792,3.5114,4.1182,4.5152,4.5134,4.514,4.2411,3.8925,3.9053,3.5099,3.4279,3.1692,2.9303,2.9697,2.4499,2.6584,2.0642,2.321,1.6252,1.9855,1.2012,1.572,1.0126,1.4861,0.7695,1.3637,0.6264,1.5976,3.8534,3.6755,3.3918,3.238,2.8415,2.7297,2.7055,2.605,3.2087,3.4013,4.0603,4.4981,4.3477,4.4477,4.2253,3.9647,3.882,3.506,3.4988,3.1871,3.0352,2.9815,2.5089,2.6852,2.0714,2.3233,1.6567,1.9966,1.205,1.5663,0.9908,1.4422,0.7509,1.284,0.6374,1.5966,3.6664,3.476,3.4725,3.3264,3.0164,2.8842,2.7721,2.6436,3.1613,3.2107,4.1289,4.4489,4.1625,4.3147,4.0907,4.0064,3.8359,3.5222,3.5538,3.2627,3.1319,2.9575,2.655,2.7458,2.1094,2.359,1.6903,1.9857,1.3135,1.7168,0.9297,1.3305,0.707,1.182,0.6543,1.5752,3.4829,3.3264,3.388,3.2448,3.0961,2.9655,2.8208,2.6709,3.1574,3.2104,4.1705,4.4419,4.2292,4.3301,3.9527,3.9446,3.818,3.5916,3.5683,3.2765,3.2156,2.9815,2.7549,2.746,2.1774,2.3874,1.6908,1.9875,1.337,1.7403,0.9464,1.3286,0.7056,1.1396,0.6555,1.5196,3.1076,2.987,3.2072,3.063,3.1785,3.0393,3.0347,2.8397,3.3337,3.3558,4.234,4.4756,4.3505,4.3612,3.824,3.8561,3.7316,3.6644,3.5423,3.2935,3.2835,3.0601,2.8358,2.7249,2.3057,2.4178,1.7051,1.9964,1.3427,1.7116,1.0072,1.4361,0.6423,1.0248,0.6254,1.4013
BE21,3.05,2.8939,2.8132,2.6998,2.6867,2.5646,2.8463,2.7155,3.1129,3.052,3.1731,3.183,3.3395,3.2775,3.1713,3.0549,3.5447,3.424,3.829,3.6627,3.7253,3.6619,3.3438,3.2768,2.8858,2.8668,2.5087,2.6039,1.8947,2.1043,1.6515,2.0468,1.1994,1.741,0.7831,1.6115,2.9854,2.862,2.9342,2.8033,2.6922,2.5512,2.7814,2.6461,3.0496,2.9835,3.1382,3.1811,3.3282,3.2932,3.2036,3.1155,3.3384,3.2539,3.6514,3.4903,3.7771,3.6747,3.4423,3.3977,2.956,2.9329,2.5834,2.6653,1.9186,2.1007,1.6902,2.0451,1.2211,1.7399,0.8607,1.7118,2.8491,2.7274,3.0467,2.882,2.8052,2.6844,2.7238,2.5678,2.9292,2.8221,3.2483,3.2476,3.2315,3.2431,3.3201,3.2699,3.1064,3.0186,3.434,3.3462,3.6763,3.536,3.5332,3.5008,3.1017,3.0831,2.6179,2.6679,2.2009,2.383,1.564,1.8664,1.2355,1.6808,0.993,1.8561,2.7576,2.648,2.9925,2.8636,2.9343,2.7904,2.7316,2.5584,2.8925,2.759,3.221,3.2206,3.2491,3.2622,3.3118,3.2777,3.1532,3.0869,3.2527,3.1781,3.5147,3.3741,3.5852,3.5093,3.1912,3.1984,2.6755,2.7181,2.2808,2.4462,1.5988,1.8627,1.2665,1.6791,1.0524,1.9057,2.6673,2.5772,2.8636,2.7319,3.0558,2.8876,2.8694,2.7059,2.8631,2.7063,3.1181,3.0838,3.3622,3.3697,3.2365,3.2789,3.2971,3.2562,3.0564,2.9774,3.3154,3.2404,3.4882,3.3791,3.2871,3.2992,2.7953,2.8552,2.295,2.431,1.8336,2.0989,1.167,1.5185,1.1023,1.9292
BE22,2.7396,2.5972,2.6286,2.4896,2.6182,2.491,2.8584,2.6728,3.1207,3.0008,2.9729,2.9441,3.3628,3.2777,3.1646,3.1347,3.5509,3.4497,4.0412,3.8635,4.0613,3.9327,3.6294,3.5553,3.198,3.1197,2.5363,2.5692,1.994,2.1569,1.6885,2.0046,1.0954,1.5686,0.6197,1.2916,2.6701,2.5255,2.7053,2.5957,2.6002,2.4284,2.7202,2.5993,3.0544,2.92,2.9344,2.9052,3.2112,3.1797,3.246,3.2007,3.3287,3.2853,3.804,3.6395,4.0797,3.9593,3.7758,3.6876,3.2873,3.2361,2.7716,2.7621,1.9738,2.1245,1.7602,2.0425,1.1894,1.6404,0.719,1.4369,2.5059,2.3849,2.7973,2.6488,2.6558,2.5121,2.6453,2.5001,2.8571,2.6837,3.0152,2.9382,2.9993,2.9956,3.3616,3.3035,3.1466,3.1336,3.4914,3.4126,3.9266,3.7782,3.9141,3.8136,3.4465,3.4133,2.9657,2.9598,2.2868,2.3858,1.6885,1.9315,1.2731,1.6732,0.8903,1.6642,2.391,2.3004,2.7506,2.5988,2.7524,2.6369,2.6572,2.4466,2.7657,2.6123,2.9739,2.8788,3.0003,2.9819,3.2411,3.2346,3.2458,3.2109,3.2938,3.2607,3.7058,3.567,3.9303,3.8429,3.585,3.5379,3.0535,3.0593,2.497,2.5626,1.6777,1.9071,1.3407,1.7118,0.9974,1.7903,2.2722,2.1777,2.5924,2.4844,2.8647,2.7098,2.7647,2.5437,2.7344,2.5418,2.8192,2.7054,3.1137,3.0991,3.0966,3.1136,3.3792,3.3536,3.1414,3.1337,3.4348,3.3549,3.7851,3.6741,3.7159,3.6586,3.1842,3.2241,2.6721,2.7349,1.9265,2.1299,1.2647,1.5912,1.1087,1.899
BE23,2.8744,2.7682,2.7731,2.6569,2.663,2.5531,2.8029,2.7053,2.9881,2.9351,3.0886,3.064,3.3942,3.341,3.2995,3.1878,3.6286,3.5269,3.8292,3.7075,3.6947,3.5826,3.2826,3.231,2.9213,2.9294,2.552,2.6688,1.8529,2.1321,1.6876,2.1831,1.1871,1.856,0.7646,1.6869,2.7876,2.671,2.8821,2.7486,2.6445,2.5514,2.7424,2.6458,2.9887,2.9228,3.1091,3.0887,3.2733,3.2518,3.3298,3.2472,3.4868,3.3625,3.6679,3.5799,3.7523,3.6396,3.4025,3.3394,2.9442,2.929,2.6401,2.7506,1.8843,2.1237,1.6897,2.1471,1.2442,1.899,0.8284,1.8039,2.6602,2.5225,2.8998,2.7984,2.7893,2.6655,2.6844,2.5538,2.9029,2.8328,3.2377,3.2053,3.1489,3.1153,3.3586,3.3399,3.2579,3.1513,3.5505,3.4495,3.697,3.5921,3.5028,3.428,3.0398,3.0575,2.652,2.7484,2.2491,2.4632,1.53,1.8996,1.253,1.8009,0.968,1.9938,2.5733,2.4467,2.8406,2.719,2.9114,2.7795,2.6817,2.5657,2.8632,2.7873,3.2465,3.2066,3.1837,3.1497,3.2626,3.267,3.2956,3.2227,3.4151,3.2904,3.5519,3.4691,3.5692,3.4883,3.1478,3.1495,2.6639,2.7428,2.3353,2.538,1.5699,1.8907,1.2659,1.7785,1.0465,2.0843,2.5122,2.3864,2.7277,2.5805,2.9413,2.838,2.8493,2.699,2.8389,2.7304,3.1633,3.1314,3.3195,3.3002,3.1766,3.1717,3.3421,3.3438,3.2133,3.1198,3.439,3.3506,3.5101,3.4384,3.2553,3.2356,2.7363,2.8391,2.3277,2.5214,1.8762,2.1895,1.1418,1.5595,1.1025,2.0915
BE24,2.8349,2.705,2.9364,2.7936,2.8747,2.7674,2.9346,2.8376,3.0467,2.9425,2.8691,2.8447,3.0705,3.1168,3.1141,3.2102,3.5299,3.601,3.8634,3.8577,3.7549,3.7413,3.3463,3.3795,2.8751,2.9585,2.4756,2.6033,1.805,2.0934,1.6563,2.0782,1.1935,1.8135,0.8239,1.6507,2.8135,2.67,3.0059,2.8646,2.8854,2.7716,2.893,2.8109,3.0589,2.9214,2.8637,2.833,2.9714,3.0693,3.1035,3.2221,3.3802,3.4587,3.6681,3.6812,3.7926,3.802,3.4568,3.4658,2.92,2.9976,2.5469,2.6972,1.8705,2.1024,1.6215,2.0443,1.2591,1.8152,0.8858,1.7761,2.7256,2.6158,3.0219,2.8751,2.9984,2.8559,2.8816,2.7619,2.981,2.8693,2.9687,2.9418,2.9014,2.9726,3.181,3.2903,3.1821,3.274,3.4678,3.523,3.7058,3.6823,3.5162,3.519,3.0608,3.135,2.5681,2.7222,2.1537,2.3799,1.4912,1.855,1.2382,1.7133,1.0063,1.9639,2.6516,2.5509,2.9998,2.8493,3.066,2.937,2.9031,2.7766,2.9567,2.8595,3.0036,2.9346,2.9191,3.0011,3.1329,3.2554,3.204,3.3046,3.3615,3.3839,3.5276,3.5128,3.5593,3.5748,3.1556,3.2022,2.5896,2.7412,2.2106,2.4538,1.5464,1.8568,1.2122,1.6941,1.0844,2.0275,2.6,2.4958,2.9442,2.8009,3.1174,2.9682,3.0527,2.8884,2.9315,2.839,2.8907,2.8463,3.0049,3.1087,3.0774,3.2008,3.2831,3.3993,3.1815,3.2597,3.3582,3.3882,3.4749,3.4662,3.2193,3.2631,2.7173,2.8556,2.2227,2.4597,1.7778,2.0941,1.1086,1.523,1.1229,2.058
