comune_code,comune_name,provincia,2019_total_pop,2021_total_pop,2024_total_pop,2026_total_pop,2019_0-4_male,2019_0-4_female,2019_5-9_male,2019_5-9_female,2019_10-14_male,2019_10-14_female,2019_15-19_male,2019_15-19_female,2019_20-24_male,2019_20-24_female,2019_25-29_male,2019_25-29_female,2019_30-34_male,2019_30-34_female,2019_35-39_male,2019_35-39_female,2019_40-44_male,2019_40-44_female,2019_45-49_male,2019_45-49_female,2019_50-54_male,2019_50-54_female,2019_55-59_male,2019_55-59_female,2019_60-64_male,2019_60-64_female,2019_65-69_male,2019_65-69_female,2019_70-74_male,2019_70-74_female,2019_75-79_male,2019_75-79_female,2019_80-84_male,2019_80-84_female,2019_85-89_male,2019_85-89_female,2019_90-94_male,2019_90-94_female,2019_95-99_male,2019_95-99_female,2019_100+_male,2019_100+_female,2021_0-4_male,2021_0-4_female,2021_5-9_male,2021_5-9_female,2021_10-14_male,2021_10-14_female,2021_15-19_male,2021_15-19_female,2021_20-24_male,2021_20-24_female,2021_25-29_male,2021_25-29_female,2021_30-34_male,2021_30-34_female,2021_35-39_male,2021_35-39_female,2021_40-44_male,2021_40-44_female,2021_45-49_male,2021_45-49_female,2021_50-54_male,2021_50-54_female,2021_55-59_male,2021_55-59_female,2021_60-64_male,2021_60-64_female,2021_65-69_male,2021_65-69_female,2021_70-74_male,2021_70-74_female,2021_75-79_male,2021_75-79_female,2021_80-84_male,2021_80-84_female,2021_85-89_male,2021_85-89_female,2021_90-94_male,2021_90-94_female,2021_95-99_male,2021_95-99_female,2021_100+_male,2021_100+_female,2024_0-4_male,2024_0-4_female,2024_5-9_male,2024_5-9_female,2024_10-14_male,2024_10-14_female,2024_15-19_male,2024_15-19_female,2024_20-24_male,2024_20-24_female,2024_25-29_male,2024_25-29_female,2024_30-34_male,2024_30-34_female,2024_35-39_male,2024_35-39_female,2024_40-44_male,2024_40-44_female,2024_45-49_male,2024_45-49_female,2024_50-54_male,2024_50-54_female,2024_55-59_male,2024_55-59_female,2024_60-64_male,2024_60-64_female,2024_65-69_male,2024_65-69_female,2024_70-74_male,2024_70-74_female,2024_75-79_male,2024_75-79_female,2024_80-84_male,2024_80-84_female,2024_85-89_male,2024_85-89_female,2024_90-94_male,2024_90-94_female,2024_95-99_male,2024_95-99_female,2024_100+_male,2024_100+_female,2026_0-4_male,2026_0-4_female,2026_5-9_male,2026_5-9_female,2026_10-14_male,2026_10-14_female,2026_15-19_male,2026_15-19_female,2026_20-24_male,2026_20-24_female,2026_25-29_male,2026_25-29_female,2026_30-34_male,2026_30-34_female,2026_35-39_male,2026_35-39_female,2026_40-44_male,2026_40-44_female,2026_45-49_male,2026_45-49_female,2026_50-54_male,2026_50-54_female,2026_55-59_male,2026_55-59_female,2026_60-64_male,2026_60-64_female,2026_65-69_male,2026_65-69_female,2026_70-74_male,2026_70-74_female,2026_75-79_male,2026_75-79_female,2026_80-84_male,2026_80-84_female,2026_85-89_male,2026_85-89_female,2026_90-94_male,2026_90-94_female,2026_95-99_male,2026_95-99_female,2026_100+_male,2026_100+_female
1001,Agliè,Torino,5268,5090,5192,5168,0.8352,1.101,1.1579,1.139,1.1579,0.9112,1.1769,0.8352,0.8352,1.12,1.1959,1.3857,1.1769,1.2908,1.2718,1.4237,1.5566,1.8793,1.9742,1.9932,2.126,2.2399,1.9742,1.9172,1.3667,1.4427,1.5756,1.7084,1.2718,1.6515,1.2149,1.3667,0.9871,1.2908,0.5315,0.9301,0.2088,0.5125,0.0,0.2468,23.5953,26.4237,0.7859,0.9234,1.0806,1.1984,1.1002,1.1002,1.1395,0.7859,1.002,1.0609,1.2967,1.3949,1.1984,1.2574,1.1395,1.2377,1.5128,1.5717,1.8271,1.8468,2.1807,2.22,2.1415,2.3772,1.4538,1.7092,1.5717,1.5521,1.5521,1.8664,1.2377,1.2574,0.8251,1.3752,0.5305,0.8644,0.1179,0.5108,0.0196,0.1179,23.7132,26.3458,1.0015,0.6549,0.8282,1.0786,1.0208,1.0208,1.1556,0.9823,1.2712,1.0978,1.2904,1.3097,1.5408,1.2519,1.0015,1.1556,1.1941,1.406,1.5023,1.9646,2.1186,2.0031,2.1572,2.4461,2.0031,2.0609,1.3675,1.4445,1.4831,1.6371,1.1171,1.5986,1.0786,1.3097,0.5778,1.0401,0.1541,0.4237,0.0385,0.1733,23.9407,26.0978,0.9288,0.7353,0.8514,0.8901,1.0062,1.0642,1.0642,1.0449,1.2771,1.219,1.219,0.9675,1.606,1.2384,1.219,1.3932,1.3351,1.2771,1.5673,1.7221,1.9543,1.8382,2.1672,1.935,2.0704,2.4381,1.4899,1.6447,1.548,1.4512,1.219,1.5286,1.0062,1.3351,0.5224,1.1997,0.3096,0.5611,0.0,0.1548,24.3615,25.6385
1002,Airasca,Torino,7226,7266,7372,7396,1.0794,0.9272,1.1901,1.0794,1.4531,1.3701,1.4808,1.1901,1.1486,1.0379,1.0656,1.2455,1.5223,1.287,1.5915,1.633,1.9513,1.8544,2.145,2.0482,2.1035,1.9098,1.6607,1.979,1.6192,1.6053,1.716,1.716,1.5223,1.4116,1.0933,1.1763,0.7473,0.4982,0.2076,0.4013,0.0969,0.1937,0.0138,0.0277,25.4082,24.5918,0.9634,0.9496,1.3075,0.8671,1.2662,1.39,1.5414,1.1836,1.4176,1.1561,1.0873,1.1836,1.1285,1.1974,1.5827,1.4038,1.9405,1.8029,2.0782,1.8442,2.147,2.0644,1.7892,2.0506,1.624,1.8855,1.5965,1.6102,1.7479,1.6515,1.0873,1.0184,0.7019,0.757,0.2753,0.3441,0.1101,0.2064,0.0,0.0275,25.4198,24.594,0.8817,0.8817,1.1937,1.153,1.2751,0.9495,1.4379,1.3429,1.4107,1.2615,1.3565,1.0988,1.2344,1.3158,1.3565,1.3294,1.6278,1.465,2.1432,1.9805,2.089,1.9398,1.9805,1.9398,1.7363,1.9805,1.6007,1.5328,1.6278,1.5735,1.3429,1.2887,0.7461,0.9902,0.3527,0.2984,0.0543,0.1628,0.0136,0.0407,25.4883,24.5252,0.7436,0.8383,1.0005,1.0546,1.3791,0.9059,1.2439,1.298,1.4332,1.2845,1.298,1.1898,1.2574,1.3386,1.4062,1.3115,1.5684,1.4332,1.9064,1.6901,2.1228,1.9335,1.7983,1.947,1.8253,1.974,1.6631,1.7983,1.5955,1.636,1.5143,1.3791,0.9465,0.8924,0.4327,0.5814,0.1352,0.1352,0.0406,0.0541,25.338,24.6755
1003,Ala di Stura,Torino,884,918,944,936,0.6787,0.7919,0.7919,1.2443,1.1312,0.7919,1.5837,1.5837,0.905,1.1312,1.2443,1.0181,1.0181,0.7919,2.1493,0.905,2.1493,1.2443,1.2443,2.0362,3.2805,2.2624,2.3756,1.81,0.905,1.1312,1.9231,1.1312,2.0362,1.81,1.4706,1.3575,0.6787,1.6968,0.3394,1.0181,0.2262,0.1131,0.0,0.0,26.1312,23.8688,0.5447,0.8715,0.9804,0.8715,0.6536,1.3072,1.5251,0.7625,1.0893,1.634,1.8519,1.4161,1.0893,0.8715,1.7429,0.9804,1.5251,1.1983,1.7429,1.3072,3.0501,2.2876,2.1786,2.6144,1.7429,1.5251,1.0893,0.9804,2.1786,1.3072,1.5251,1.5251,0.8715,1.0893,0.3268,1.3072,0.1089,0.3268,0.0,0.0,25.817,24.183,1.0593,0.8475,0.6356,0.8475,0.7415,1.1653,1.1653,0.9534,1.8008,1.9068,0.8475,0.9534,1.3771,1.3771,1.0593,0.7415,2.3305,1.0593,2.0127,1.2712,1.2712,1.9068,3.178,2.5424,2.4364,2.0127,1.0593,0.9534,1.8008,0.9534,1.6949,1.9068,0.8475,1.1653,0.4237,0.9534,0.1059,0.5297,0.0,0.1059,25.8475,24.1525,0.9615,0.641,0.4274,0.8547,1.0684,1.0684,0.7479,1.3889,1.6026,1.1752,1.1752,1.9231,1.4957,0.8547,0.9615,1.2821,2.1368,1.2821,1.6026,1.2821,1.9231,1.4957,2.8846,2.1368,1.9231,2.3504,1.6026,1.0684,1.1752,0.8547,2.1368,1.2821,1.0684,1.2821,0.5342,0.8547,0.2137,0.9615,0.0,0.3205,25.641,24.359
1004,Albiano d'Ivrea,Torino,3284,3276,3234,3266,0.7613,0.7613,0.8526,0.8526,1.1876,1.0962,0.8526,1.0658,1.3398,1.0658,1.1876,0.8222,1.3398,1.3703,1.3094,1.218,1.5834,1.4007,2.0402,1.9184,2.2533,2.2533,2.1011,2.162,1.827,2.1315,1.7966,1.553,1.6748,1.827,1.0353,1.6443,0.8222,1.0962,0.5177,0.7613,0.0609,0.3654,0.0609,0.0305,24.6041,25.3959,0.9768,0.7631,0.8547,0.9158,0.9768,0.9463,0.9768,1.1905,1.1294,1.2821,1.1294,0.6716,1.6178,1.4042,1.2515,1.3431,1.2821,1.3431,2.0147,1.8315,1.9841,1.9536,1.9231,2.3504,2.1368,1.9231,1.8315,1.7399,1.6178,1.7094,0.8852,1.6789,1.1294,1.2821,0.5495,0.7631,0.1526,0.3053,0.0611,0.1221,24.4811,25.5189,1.0513,0.6803,0.773,0.9276,0.9276,0.8967,1.175,1.175,0.9586,1.0513,1.175,1.3296,1.0513,1.2369,1.5461,1.4533,1.2059,1.2678,1.6698,1.3605,2.0717,2.0717,2.2573,2.2882,1.8244,2.2263,1.979,2.1336,1.7007,1.5461,1.3296,1.6079,0.8349,1.3915,0.4329,0.7112,0.1546,0.402,0.0618,0.0,24.1806,25.8813,1.0104,0.6736,0.7348,0.7655,0.7961,1.1023,1.1329,0.9798,1.1023,1.1941,1.0104,1.5922,1.2554,0.7961,1.4085,1.684,1.3778,1.4085,1.286,1.1941,2.2352,1.9596,2.0821,2.0514,2.0208,2.5107,1.8983,2.0514,1.8677,1.684,1.3778,1.4391,0.7348,1.3166,0.5818,0.9186,0.2143,0.4593,0.0612,0.0,24.2498,25.7808
1006,Almese,Torino,12812,12710,12630,12462,0.7727,0.9366,0.9991,0.8742,1.522,1.1864,1.1474,1.0771,1.3659,1.2254,1.0381,1.0303,1.1083,1.0537,1.2722,1.3503,1.6625,1.7249,2.0059,2.3259,2.1542,2.3884,2.0762,1.9435,1.7093,1.8108,1.5766,1.522,1.2957,1.6001,1.2332,1.3503,0.9054,1.0693,0.4293,0.6869,0.1639,0.2966,0.0156,0.0781,24.4692,25.5464,0.8733,0.834,1.0858,0.8812,1.3061,0.9992,1.2982,1.2903,1.1802,1.1566,1.1251,1.0543,1.2274,1.1802,1.1487,1.1802,1.5814,1.6286,1.8411,2.1164,2.1715,2.5885,2.085,2.14,1.8647,1.7545,1.6522,1.5185,1.3375,1.6208,1.0779,1.2274,1.1094,1.2038,0.4249,0.6452,0.181,0.2675,0.0472,0.0944,24.6184,25.3816,0.7601,0.863,0.8868,1.0055,1.0847,0.8947,1.5439,1.2827,1.0451,1.0135,1.2985,1.1876,1.1164,1.1243,1.2668,1.1956,1.2668,1.3856,1.6944,1.7102,2.1061,2.5337,2.1061,2.4941,2.0507,1.9398,1.6944,1.7498,1.4648,1.3539,1.1322,1.4964,1.1243,1.1243,0.5622,0.8314,0.1584,0.3088,0.0396,0.095,24.4181,25.5899,0.6821,0.7382,0.995,0.9549,1.1154,1.0111,1.308,1.0833,1.2197,1.2839,1.1796,1.0672,1.1716,1.0913,1.2839,1.1314,1.2117,1.316,1.6851,1.6209,1.7894,2.2468,2.1987,2.7203,2.1265,2.1425,1.7894,1.7573,1.5969,1.4845,1.2197,1.4925,0.8666,1.0672,0.7543,0.9068,0.1123,0.4173,0.0321,0.0963,24.354,25.6781
1007,Alpette,Torino,492,470,492,470,0.4065,0.4065,1.0163,0.4065,0.813,1.0163,0.6098,0.2033,0.6098,1.2195,1.8293,0.4065,0.4065,1.8293,1.0163,1.4228,2.439,1.2195,1.4228,1.2195,1.4228,1.4228,2.8455,2.0325,4.6748,2.0325,1.2195,2.2358,1.626,1.8293,1.626,1.4228,1.626,1.8293,0.4065,1.0163,0.2033,0.4065,0.0,0.2033,26.2195,23.7805,0.2128,0.2128,0.4255,0.2128,1.0638,1.2766,0.8511,0.2128,0.8511,1.0638,1.0638,1.0638,0.6383,1.0638,0.8511,1.2766,2.1277,1.9149,2.5532,1.2766,1.4894,1.2766,2.766,1.9149,4.2553,2.3404,2.5532,2.5532,1.4894,1.2766,1.2766,1.4894,1.4894,1.7021,0.0,1.4894,0.0,0.2128,0.0,0.2128,25.9574,24.0426,1.0163,0.4065,0.6098,0.4065,0.813,0.4065,1.0163,1.0163,1.2195,0.2033,0.4065,1.0163,1.4228,1.0163,1.2195,2.0325,0.813,1.0163,2.6423,1.0163,1.8293,2.0325,1.8293,2.0325,3.0488,2.0325,4.065,1.8293,1.4228,2.439,1.8293,1.4228,1.4228,1.2195,0.6098,0.6098,0.0,0.4065,0.0,0.2033,27.2358,22.7642,0.8511,0.2128,0.4255,0.8511,1.0638,0.4255,1.2766,1.0638,0.8511,0.2128,0.8511,0.4255,1.2766,1.7021,1.0638,0.8511,1.0638,1.4894,1.9149,1.7021,2.1277,1.0638,1.2766,1.9149,3.1915,2.3404,3.617,2.5532,2.3404,2.5532,1.2766,0.8511,1.2766,1.2766,0.8511,0.8511,0.0,0.8511,0.0,0.2128,26.5957,23.4043
1008,Alpignano,Torino,33982,32968,33174,33026,0.771,0.7857,1.18,0.9652,1.0476,0.9387,1.2242,0.9181,1.4419,1.0005,1.4596,1.1418,1.3331,1.0741,1.3625,1.3801,1.7686,1.8892,1.8628,1.8333,1.851,1.9805,1.6126,2.1305,1.8628,1.9628,1.7186,2.0011,1.6126,1.6656,1.1977,1.3537,0.821,1.08,0.4708,0.6857,0.153,0.3296,0.0383,0.0853,24.7896,25.2192,0.734,0.6764,1.1041,0.9464,1.1071,1.0131,1.1557,0.9615,1.4954,0.9342,1.3771,1.0738,1.4378,1.0798,1.3134,1.2982,1.5955,1.5834,1.8563,1.9837,1.8472,1.9868,1.7744,2.0747,1.7866,2.0626,1.7198,1.8958,1.7623,2.0019,1.1405,1.2558,0.9039,1.1678,0.4793,0.7856,0.1699,0.3306,0.0273,0.091,24.7937,25.2154,0.7476,0.7204,0.841,0.7747,1.2118,1.04,1.1515,1.0098,1.4168,0.9405,1.5102,1.0128,1.4921,1.1123,1.3716,1.1605,1.4077,1.3957,1.7966,1.9533,1.9141,1.9353,1.8328,2.0619,1.6429,2.1372,1.7875,1.9322,1.6037,1.9111,1.3987,1.5916,0.9676,1.1696,0.4913,0.8109,0.205,0.3768,0.0241,0.1176,24.8206,25.2005,0.76,0.7297,0.754,0.7025,1.1203,0.978,1.2172,1.0749,1.4928,0.9538,1.626,1.0083,1.4473,1.0628,1.5321,1.1264,1.3293,1.3716,1.5957,1.629,1.8894,2.1074,1.847,1.9681,1.6865,2.062,1.7501,2.0711,1.5957,1.7532,1.5261,1.8924,0.9568,1.1143,0.5632,0.8539,0.2089,0.433,0.0454,0.1453,24.944,25.0742
1009,Andezeno,Torino,4008,4026,4002,3958,0.9731,0.8733,1.2226,0.998,1.3972,1.4721,1.4222,1.0479,1.2226,1.0978,1.1727,1.1727,1.2725,1.3224,1.6966,1.3972,1.7465,2.0709,2.0958,2.2954,1.8463,1.7465,1.6467,1.8463,1.7465,1.3723,1.1477,1.6218,1.6717,1.497,1.3224,1.3473,0.8483,1.023,0.3244,0.499,0.1248,0.3743,0.0,0.025,24.9002,25.0998,0.9687,1.1923,0.9935,0.9935,1.7884,1.1674,1.1923,1.1426,1.3413,1.0681,1.0929,1.1426,1.4903,1.3164,1.6393,1.5648,1.5648,1.6145,1.7884,2.1361,2.0368,1.9871,1.9374,1.7635,1.4406,1.4655,1.4158,1.6642,1.54,1.4903,1.1177,1.4406,0.9687,0.919,0.4471,0.5961,0.149,0.2732,0.0,0.149,24.9131,25.0869,1.0245,0.9495,1.0495,0.9995,1.2744,1.2494,1.4743,1.3493,1.2744,0.8996,1.2744,1.0495,1.3493,1.3743,1.2994,1.3743,1.7241,1.5742,2.024,1.8491,1.974,2.2489,1.7991,1.7741,1.5742,1.8741,1.6242,1.3493,1.0745,1.4493,1.4493,1.3743,1.0995,1.1244,0.4998,0.8496,0.1249,0.1749,0.025,0.1,25.0125,24.9875,1.0611,0.6316,1.0106,1.1875,1.1117,1.0864,1.718,1.0864,1.1369,1.0611,1.238,1.1875,1.2633,1.2885,1.3643,1.3896,1.4907,1.5664,1.8949,1.4907,2.0212,2.0212,2.097,2.0718,1.7433,1.8444,1.4149,1.6422,1.3896,1.6675,1.3391,1.2885,0.859,1.238,0.7327,0.7074,0.2274,0.3284,0.0253,0.0505,25.139,24.8863
1010,Andrate,Torino,994,976,934,936,0.8048,0.9054,0.8048,1.5091,1.1066,1.006,1.8109,0.503,1.2072,0.503,1.006,1.1066,0.8048,1.006,0.9054,1.6097,1.6097,1.6097,2.4145,1.4085,2.9175,1.5091,2.2133,2.2133,2.6157,1.5091,1.8109,1.4085,1.9115,1.5091,1.2072,1.5091,0.7042,0.9054,0.4024,0.9054,0.3018,0.6036,0.1006,0.1006,26.66,23.34,0.7172,0.6148,0.6148,1.332,1.2295,1.127,1.2295,0.7172,1.8443,0.4098,0.9221,0.5123,1.0246,0.9221,0.8197,1.127,1.332,1.9467,2.3566,1.9467,2.5615,1.4344,3.1762,2.1516,2.6639,2.0492,1.8443,1.2295,1.6393,1.9467,1.6393,1.127,0.8197,1.0246,0.3074,0.9221,0.1025,0.2049,0.3074,0.1025,27.1516,22.8484,0.4283,0.4283,0.7495,0.8565,0.9636,1.1777,1.0707,0.9636,1.8201,0.6424,1.1777,0.4283,0.9636,0.8565,0.5353,0.7495,0.9636,1.7131,2.0343,1.7131,2.8908,1.8201,2.8908,1.8201,3.1049,2.4625,2.4625,1.606,2.2484,1.3919,1.8201,1.606,0.7495,1.0707,0.5353,0.5353,0.1071,0.3212,0.2141,0.1071,27.7302,22.2698,0.2137,0.641,0.641,0.4274,0.7479,1.1752,1.1752,0.9615,1.3889,1.2821,1.9231,0.7479,0.8547,0.8547,0.7479,0.8547,0.8547,0.7479,1.7094,1.9231,2.7778,2.0299,2.4573,1.9231,3.0983,2.1368,2.9915,2.1368,2.1368,1.2821,1.6026,1.9231,1.1752,0.5342,0.3205,0.8547,0.1068,0.5342,0.0,0.0,26.9231,23.1838
1011,Angrogna,Torino,1724,1676,1612,1588,0.464,0.6381,1.1021,1.5081,1.5081,1.2761,1.4501,0.8701,1.0441,1.5661,0.9861,0.6381,0.6961,0.9861,1.1021,0.9281,1.4501,1.7401,2.6682,2.5522,3.0162,2.7262,1.7401,1.8561,1.8561,1.5081,1.7981,1.1601,1.3341,0.8121,1.2761,1.7981,1.1601,1.1021,0.522,0.522,0.174,0.348,0.058,0.058,25.406,24.594,0.895,0.2983,0.5967,1.253,1.3126,1.3126,1.611,1.0143,1.1337,1.1933,0.9547,0.895,0.8353,0.716,0.9547,1.0143,1.074,1.1337,2.7446,2.506,3.1026,2.685,2.148,2.5656,1.969,1.611,1.969,1.1337,1.432,1.1337,1.074,1.1337,1.253,1.611,0.4177,0.6563,0.358,0.179,0.0,0.1193,25.8353,24.1647,0.7444,0.1241,0.5583,0.6824,1.1166,1.6129,1.4268,1.4268,1.6129,0.9305,0.8065,0.9305,1.1166,0.8685,1.1787,0.8685,1.2407,1.1166,1.737,1.861,3.1638,2.4814,3.1017,2.7916,1.9231,2.0471,1.9231,1.4268,1.9231,1.3027,1.0546,0.8065,0.9305,1.3648,0.8065,0.6203,0.2481,0.1241,0.0,0.0,26.6129,23.3871,0.4408,0.3778,0.9446,0.5038,0.6927,1.3854,1.1335,1.3854,1.1965,0.9446,1.3854,0.6297,1.0076,0.8186,1.4484,0.8816,1.3224,1.1965,1.1965,1.3224,2.8967,2.7078,3.2116,2.6448,2.5189,2.8338,2.267,1.5113,1.8262,0.8816,1.1965,1.1965,0.8816,0.8816,0.6927,1.1965,0.1889,0.1889,0.063,0.0,26.5113,23.4887
1012,Arignano,Torino,2150,2160,2146,2152,1.0698,0.5581,1.0233,0.7907,1.4419,0.9767,1.6279,0.9302,1.7209,1.3953,0.9767,1.0698,1.4419,0.9767,0.9302,1.3488,2.0465,1.7209,2.4186,2.3721,2.4186,1.9535,1.8605,2.0,2.093,1.6279,1.7209,1.4419,1.2558,1.3953,1.2093,1.1628,0.6977,0.8372,0.3721,0.8372,0.0465,0.186,0.0,0.0465,26.3721,23.6279,1.1111,0.6481,1.0185,0.787,1.4352,0.8333,1.5741,1.2963,1.7593,1.0648,1.2037,0.787,1.2963,1.1111,0.8796,1.3426,1.4815,1.6204,2.5,2.1296,2.3611,2.1759,2.1296,2.037,2.0833,1.6667,1.8981,1.5741,1.2963,1.4352,1.1574,0.787,0.787,0.9722,0.2778,0.6944,0.1389,0.5093,0.0463,0.0463,26.4352,23.6111,0.7456,0.7456,1.1184,0.6058,1.3048,0.8388,1.5377,1.1184,1.7707,1.0718,1.5843,1.0252,0.9786,0.7922,1.3979,1.2116,0.8388,1.3979,2.2367,2.1435,2.4231,2.2833,2.5163,2.0969,1.7707,2.0037,2.0969,1.5377,1.3514,1.3979,1.0252,1.3979,0.9786,0.9786,0.5126,0.699,0.0466,0.3262,0.0,0.0932,26.2349,23.7651,0.6041,0.7435,0.9758,0.79,1.2082,0.7435,1.7658,1.0223,1.5335,1.2546,1.6729,1.0688,1.0688,0.697,1.5335,1.3941,0.9294,1.3011,1.487,1.6729,2.6487,2.5093,2.277,2.184,1.9981,1.9517,1.9517,1.5799,1.6264,1.4405,1.0688,1.5335,0.9758,0.8364,0.4182,0.6506,0.2323,0.4647,0.0,0.1859,25.9758,24.0242
1013,Avigliana,Torino,25156,24702,24382,24070,0.8944,0.8547,1.1767,1.1329,1.3158,1.2959,1.2124,1.2005,1.1965,1.0693,1.1647,1.0733,1.1767,1.2323,1.3118,1.5066,1.8644,2.0194,2.1267,2.1665,1.9717,1.9598,1.761,1.8922,1.6696,1.765,1.4907,1.6259,1.5185,1.5861,1.1647,1.28,0.7871,0.9302,0.4134,0.6241,0.1391,0.3339,0.0159,0.0716,24.3799,25.6281,0.8339,0.7935,1.0971,1.0606,1.3035,1.259,1.2428,1.2469,1.2995,1.1376,1.0768,1.0728,1.1538,1.1538,1.3035,1.4007,1.6314,1.6881,2.1942,2.1901,2.1456,2.1699,1.7407,1.9391,1.7165,1.761,1.51,1.6031,1.5343,1.6719,1.1578,1.2914,0.9311,1.008,0.3886,0.7165,0.1538,0.2874,0.0162,0.1053,24.4393,25.5728,0.7341,0.6931,0.9351,0.9351,1.1607,1.1443,1.3781,1.3042,1.2427,1.255,1.2591,1.013,1.214,1.0418,1.255,1.3288,1.3535,1.5011,1.9236,2.0999,2.2312,2.2353,1.9933,1.9933,1.78,1.9071,1.6159,1.7185,1.4314,1.5421,1.374,1.5298,0.8982,1.1197,0.525,0.7054,0.1312,0.3609,0.0369,0.0738,24.4812,25.5434,0.7063,0.644,0.8683,0.8725,1.1259,1.0469,1.3752,1.2962,1.3128,1.3295,1.3253,1.1217,1.0511,1.1217,1.1924,1.1882,1.3295,1.4375,1.6867,1.8072,2.2684,2.1894,2.1604,2.1604,1.774,1.9693,1.6826,1.774,1.4873,1.5787,1.4209,1.5829,0.9223,1.1467,0.6315,0.7644,0.1413,0.3822,0.0291,0.0665,24.4994,25.5297
1014,Azeglio,Torino,2506,2470,2484,2448,0.5986,0.8779,1.1971,0.8779,1.4366,1.0375,1.1971,1.237,1.1572,0.9976,1.2769,1.1971,1.7159,1.4366,1.1971,0.9577,1.5563,1.3966,2.1149,2.2745,2.1149,2.6337,1.7957,1.7957,2.075,2.1548,1.3567,1.3966,1.3567,1.5563,1.237,1.0774,0.6784,1.4366,0.3192,0.6784,0.0798,0.399,0.0399,0.0798,24.5012,25.4988,0.7287,0.9312,1.0526,1.0526,1.4575,0.8907,1.0121,1.336,1.2955,0.9312,1.2955,1.0526,1.0931,1.6599,1.336,0.8907,1.5385,1.0526,1.7409,2.1053,2.5101,2.6721,1.7004,2.2672,1.8219,2.0243,2.0243,1.3765,1.498,1.8219,1.1336,0.8097,0.8502,1.2551,0.3239,0.9312,0.081,0.3239,0.0,0.081,24.4939,25.5466,0.8052,0.9259,0.6441,0.9259,1.3688,1.0467,1.409,1.1675,1.1675,1.1675,1.087,0.6844,1.2882,1.087,1.4895,1.57,1.087,1.0467,1.8116,1.3688,2.0531,2.496,2.1739,2.496,2.0934,1.8921,2.1337,1.9324,1.3285,1.2882,1.2882,1.409,0.8857,1.0064,0.5233,1.0467,0.1208,0.4026,0.0805,0.2013,24.839,25.161,0.531,0.817,0.7353,1.0212,1.0621,1.1438,1.3889,0.8578,1.1029,1.1029,1.2663,0.9395,1.2255,0.8578,1.2663,1.5931,1.348,1.2255,1.7157,1.1029,1.7565,2.165,2.5735,2.6144,1.8791,2.2876,1.7565,2.1242,1.9608,1.3072,1.348,1.7565,0.817,0.817,0.6127,0.9804,0.2451,0.4902,0.0408,0.1634,24.6324,25.3676
1015,Bairo,Torino,1580,1574,1568,1556,0.443,1.1392,0.8228,0.8228,1.0759,0.8861,0.6962,1.1392,1.2025,0.8228,1.519,0.8861,0.9494,1.2025,1.0759,1.1392,1.5823,1.6456,2.2152,2.1519,2.0886,2.1519,1.8354,2.0253,2.0253,2.0253,1.519,0.9494,1.4557,1.8987,1.0127,1.5823,0.7595,1.3291,0.6962,1.6456,0.6329,0.5696,0.0,0.3797,23.6076,26.3924,0.6353,1.2071,0.6353,0.8259,1.0165,0.6353,0.6989,1.3342,1.0165,0.953,1.2706,1.1436,1.3342,0.7624,1.0165,1.4612,1.4612,1.4612,2.033,2.2872,1.9695,1.8424,2.3507,2.0966,2.2236,2.0966,1.3342,1.2706,1.6518,1.6518,1.0801,1.6518,0.953,1.3342,0.5718,1.0801,0.3177,0.6989,0.0635,0.5083,23.6341,26.4295,0.9566,1.3393,0.4464,1.3393,0.7653,0.7653,1.148,0.8291,0.7015,1.4031,1.2117,0.8929,1.4668,1.0842,1.0204,1.3393,1.0842,1.0204,1.7219,1.7857,2.2321,2.3597,2.2959,1.9133,1.7857,1.977,1.7219,1.8495,1.3393,0.9566,1.4668,1.9133,0.8929,1.5944,0.6378,1.0204,0.574,0.6378,0.0638,0.2551,23.5332,26.6582,0.8997,1.1568,0.7712,1.2211,0.6427,1.1568,1.0925,0.6427,0.7069,1.4781,0.7712,0.7069,1.4139,1.2211,1.4139,1.3496,0.964,1.4139,1.5424,1.3496,1.8638,2.3136,2.2494,2.1851,2.3136,2.1208,1.7995,1.7352,1.2853,1.3496,1.671,1.6067,0.7712,1.2853,0.964,1.0283,0.1928,0.7712,0.1928,0.3213,23.5219,26.5424
